ZCTA,Year-Month,ZCTAcount
11216,2000-05,10
11216,2003-09,34
11216,2017-09,43
11216,2017-10,23
11216,2004-10,23
11216,2017-01,21
11216,2013-08,33
11216,2010-02,5
11216,2004-04,45
11216,2006-01,14
11216,2001-06,14
11216,2017-06,39
11216,2002-05,16
11216,2015-04,14
11216,2014-04,11
11216,2006-07,22
11216,2005-03,51
11216,2016-03,14
11216,2016-02,5
11216,2002-07,23
11216,2012-01,16
11216,2016-12,26
11216,2015-09,16
11216,2014-12,20
11216,2006-08,21
11216,2016-10,15
11216,2013-04,20
11216,2003-08,19
11216,2006-06,50
11216,2001-07,13
11216,2007-04,26
11216,2017-07,17
11216,2007-11,22
11216,2014-10,9
11216,2015-08,36
11216,2005-05,16
11216,2017-04,34
11216,2015-10,14
11216,2007-12,20
11216,2017-03,27
11216,2011-12,7
11216,2009-06,10
11216,2009-09,11
11216,2009-03,4
11216,2003-04,55
11216,2004-09,39
11216,2004-03,63
11216,2008-05,8
11216,2008-11,10
11216,1995-02,4
11216,2004-11,21
11216,2005-12,17
11216,2012-08,26
11216,2011-10,11
11216,2005-01,61
11216,2007-01,22
11216,2015-02,20
11216,2015-03,9
11216,2013-07,21
11216,2006-04,20
11216,2003-07,85
11216,2007-07,12
11216,2016-06,23
11216,2004-06,19
11216,2016-05,13
11216,2004-01,14
11216,2016-09,26
11216,2009-05,13
11216,2017-05,16
11216,2013-05,14
11216,2015-12,33
11216,2009-08,8
11216,2016-07,24
11216,2001-05,3
11216,2005-10,9
11216,2010-07,4
11216,2004-12,20
11216,2012-02,6
11216,2007-05,6
11216,2006-03,21
11216,2015-06,56
11216,2016-11,25
11216,2017-08,26
11216,2006-10,20
11216,2005-11,8
11216,2009-07,7
11216,2003-12,20
11216,2013-12,4
11216,2015-05,31
11216,2007-02,11
11216,2007-08,20
11216,2007-03,34
11216,2000-04,12
11216,2006-12,13
11216,2015-07,14
11216,2013-10,12
11216,2005-06,21
11216,2001-01,7
11216,2017-02,6
11216,2014-02,18
11216,2009-12,7
11216,2008-07,16
11216,2003-05,32
11216,2009-04,2
11216,1995-09,2
11216,2000-03,2
11216,2016-01,10
11216,2011-08,7
11216,2014-03,19
11216,2007-10,7
11216,2005-02,27
11216,2008-01,18
11216,2007-09,13
11216,1999-10,4
11216,2011-11,21
11216,2017-11,43
11216,1999-07,11
11216,2004-08,26
11216,2013-02,8
11216,2005-04,12
11216,2006-02,14
11216,2002-10,6
11216,2012-03,3
11216,2005-08,32
11216,2006-05,23
11216,2008-06,16
11216,2004-07,19
11216,2008-08,28
11216,1999-04,2
11216,2004-05,2
11216,2009-01,7
11216,2015-11,25
11216,2010-11,2
11216,2001-11,7
11216,2013-01,9
11216,1994-10,4
11216,2002-01,29
11216,2000-07,5
11216,2008-12,5
11216,2012-12,8
11216,2006-09,23
11216,2001-02,4
11216,2002-12,11
11216,2012-10,2
11216,2011-03,1
11216,2005-07,25
11216,2014-01,10
11216,2013-11,5
11216,2007-06,9
11216,2008-03,13
11216,2001-12,6
11216,2014-07,13
11216,2012-04,9
11216,2011-07,20
11216,2010-10,7
11216,2010-08,6
11216,2011-09,14
11216,2014-06,2
11216,2016-08,27
11216,2005-09,37
11216,2013-09,5
11216,2001-08,4
11216,2002-08,7
11216,2014-11,3
11216,2011-01,4
11216,2016-04,19
11216,2000-02,2
11216,2006-11,10
11216,2003-03,12
11216,2015-01,11
11216,2013-06,6
11216,2013-03,4
11216,2000-10,6
11216,2003-06,3
11216,1998-04,1
11216,2002-04,9
11216,2014-08,11
11216,2003-10,5
11216,2003-11,1
11216,2012-05,2
11216,2014-09,5
11216,2011-06,1
11216,2002-11,7
11216,2008-09,7
11216,1998-01,3
11216,2011-04,14
11216,2012-11,8
11216,2010-03,5
11216,2014-05,6
11216,2008-04,2
11216,2008-10,5
11216,1998-02,1
11216,2009-02,10
11216,2001-03,10
11216,2009-11,2
11216,2012-09,5
11216,2002-06,3
11216,2010-06,5
11216,2003-02,5
11216,1996-03,3
11216,2004-02,6
11216,2001-09,2
11216,1999-08,1
11216,2000-09,2
11216,2012-07,3
11216,2011-02,1
11216,2010-05,10
11216,2010-09,1
11216,2011-05,2
11216,2003-01,5
11216,2000-08,2
11216,2008-02,2
11216,2009-10,2
11216,1999-12,2
11216,2002-02,3
11216,2002-03,6
11216,2010-04,2
11216,2010-01,1
11216,1999-01,1
11216,2002-09,2
11216,2017-12,26
11216,2018-01,29
11216,2018-02,13
11216,2018-03,24
11221,2015-10,70
11221,1992-10,27
11221,2014-12,30
11221,2004-09,77
11221,2004-07,54
11221,2012-10,17
11221,2016-03,62
11221,2005-01,96
11221,2014-03,38
11221,2005-12,114
11221,1994-03,18
11221,2004-05,45
11221,2015-09,20
11221,2007-04,50
11221,2015-04,51
11221,1997-04,61
11221,2004-06,52
11221,1998-10,11
11221,2007-01,57
11221,1999-10,60
11221,2001-07,12
11221,2002-01,8
11221,2000-12,21
11221,1995-02,23
11221,1998-08,1
11221,1992-08,56
11221,2008-10,23
11221,2017-05,45
11221,2010-09,22
11221,2001-02,59
11221,1997-07,67
11221,2006-02,31
11221,2012-07,16
11221,2000-10,17
11221,1998-04,68
11221,1996-12,40
11221,2004-01,51
11221,2017-08,74
11221,2014-01,20
11221,2004-04,61
11221,1993-09,36
11221,2000-02,7
11221,2004-03,122
11221,2004-11,80
11221,1992-01,2
11221,2005-10,55
11221,1997-12,62
11221,2007-12,46
11221,2007-02,35
11221,2002-06,52
11221,2014-07,34
11221,2013-07,43
11221,2005-03,137
11221,2007-06,32
11221,1994-07,10
11221,2005-08,84
11221,2002-12,56
11221,2005-05,51
11221,2006-12,57
11221,2006-03,69
11221,2010-01,18
11221,2006-04,56
11221,2011-07,20
11221,2002-08,39
11221,2008-07,15
11221,2003-11,27
11221,1999-02,53
11221,2015-11,89
11221,2007-11,18
11221,1996-04,132
11221,2006-06,46
11221,2017-06,70
11221,2015-06,107
11221,2012-01,46
11221,2003-04,43
11221,2014-10,34
11221,2008-06,48
11221,2006-09,21
11221,2006-01,52
11221,1998-07,78
11221,2011-08,44
11221,1998-11,53
11221,2010-10,21
11221,2006-07,48
11221,2008-01,49
11221,2016-06,53
11221,2015-01,32
11221,2001-05,27
11221,2002-07,4
11221,1999-04,42
11221,2016-07,41
11221,1999-05,27
11221,2006-11,32
11221,2000-04,20
11221,1995-12,42
11221,2003-03,37
11221,1993-07,33
11221,2001-11,20
11221,2004-10,93
11221,1993-12,53
11221,2014-04,47
11221,1995-05,22
11221,2009-10,26
11221,2017-10,58
11221,2000-06,42
11221,2016-05,69
11221,1994-06,46
11221,2011-03,21
11221,1997-03,17
11221,2017-03,58
11221,2005-06,73
11221,2002-02,90
11221,2015-12,73
11221,2004-12,99
11221,2010-02,16
11221,2016-11,43
11221,2015-08,66
11221,1993-11,62
11221,2003-05,35
11221,2000-11,84
11221,2015-07,43
11221,2003-01,22
11221,2016-09,43
11221,2001-12,17
11221,2014-08,55
11221,2007-05,50
11221,2009-02,23
11221,2005-04,44
11221,1997-06,6
11221,2001-10,44
11221,2017-09,39
11221,2003-09,32
11221,1994-09,48
11221,2009-05,18
11221,1999-06,41
11221,2001-03,49
11221,2013-02,26
11221,2010-12,16
11221,2010-06,27
11221,1999-12,19
11221,2011-10,2
11221,1997-09,68
11221,2014-09,36
11221,1999-07,5
11221,2005-02,59
11221,2013-05,16
11221,2014-11,26
11221,2003-08,57
11221,2003-06,29
11221,2006-10,30
11221,2007-03,62
11221,2003-02,28
11221,2013-10,35
11221,2016-02,17
11221,2005-07,40
11221,2009-07,6
11221,2017-02,50
11221,2003-12,37
11221,2012-02,15
11221,1994-12,21
11221,1996-06,3
11221,2005-09,51
11221,2008-09,29
11221,1996-10,22
11221,1994-10,10
11221,2013-03,12
11221,2010-07,22
11221,2011-04,14
11221,1997-11,53
11221,2004-08,35
11221,2001-08,25
11221,2013-04,12
11221,2013-08,26
11221,2012-11,17
11221,1999-09,5
11221,1997-08,2
11221,2012-06,25
11221,2001-01,33
11221,1996-07,22
11221,2000-03,45
11221,2009-03,26
11221,2015-02,31
11221,1997-10,22
11221,2007-08,24
11221,2012-05,12
11221,2006-08,46
11221,2016-12,45
11221,2002-05,6
11221,2017-04,48
11221,2016-01,16
11221,2013-09,27
11221,2008-05,17
11221,2009-04,21
11221,2009-06,9
11221,1991-06,4
11221,2013-12,29
11221,2011-11,15
11221,1999-08,13
11221,2016-04,33
11221,2016-08,89
11221,2003-07,38
11221,1995-08,4
11221,1994-08,59
11221,2013-11,11
11221,2002-11,29
11221,2009-11,7
11221,2011-06,25
11221,1993-06,9
11221,1993-10,40
11221,2008-08,20
11221,2010-04,30
11221,2006-05,50
11221,2001-06,8
11221,2012-08,20
11221,2010-05,10
11221,2017-07,32
11221,2009-12,5
11221,1996-02,9
11221,2012-12,6
11221,1994-01,5
11221,2014-02,27
11221,2016-10,35
11221,2008-03,16
11221,2008-11,8
11221,2015-05,56
11221,2001-09,11
11221,2012-09,15
11221,2002-03,4
11221,2007-10,15
11221,1996-05,17
11221,1995-01,5
11221,2011-05,23
11221,2002-09,12
11221,2009-09,23
11221,1996-09,15
11221,2004-02,47
11221,2015-03,23
11221,2007-07,33
11221,2013-06,23
11221,2011-09,35
11221,2012-04,9
11221,2009-01,5
11221,2002-10,14
11221,1997-02,5
11221,2014-05,15
11221,2008-02,28
11221,1998-12,2
11221,2003-10,35
11221,2009-08,3
11221,1991-12,2
11221,2005-11,45
11221,1997-01,9
11221,2007-09,27
11221,2008-04,28
11221,1994-02,2
11221,1996-03,4
11221,2012-03,4
11221,2017-01,16
11221,2008-12,9
11221,1998-09,5
11221,1995-09,13
11221,1999-11,5
11221,2001-04,9
11221,1998-01,20
11221,1994-04,12
11221,1996-08,3
11221,1993-05,2
11221,2011-01,14
11221,1998-06,1
11221,2011-12,11
11221,1992-03,2
11221,2010-11,13
11221,2014-06,12
11221,2010-03,7
11221,2011-02,7
11221,1994-05,3
11221,2000-07,4
11221,2010-08,1
11221,1999-03,3
11221,1995-10,2
11221,1997-05,3
11221,1998-02,1
11221,2000-01,6
11221,2000-08,3
11221,2000-05,1
11221,2013-01,5
11221,1999-01,1
11221,2017-11,23
11221,2017-12,68
11221,2018-01,46
11221,2018-02,27
11221,2018-03,62
11356,2008-09,72
11356,2001-12,81
11356,2004-08,29
11356,2011-01,22
11356,2003-10,68
11356,2005-07,72
11356,2010-12,108
11356,2009-10,12
11356,2009-08,14
11356,2006-10,24
11356,2006-08,35
11356,2001-03,11
11356,1998-03,4
11356,2007-05,42
11356,2004-09,22
11356,2012-07,47
11356,2013-07,10
11356,2004-06,80
11356,2010-06,45
11356,2007-08,19
11356,2008-01,58
11356,2000-06,6
11356,2009-09,36
11356,2010-08,56
11356,2003-04,9
11356,2001-08,130
11356,2010-05,20
11356,2006-02,12
11356,2012-09,63
11356,2006-07,69
11356,2011-07,25
11356,2005-04,50
11356,2007-10,56
11356,2011-08,30
11356,2012-03,39
11356,2005-06,42
11356,2008-08,62
11356,2008-07,44
11356,2005-02,52
11356,1998-09,9
11356,2000-12,40
11356,2005-08,64
11356,2001-07,17
11356,2004-07,22
11356,2010-07,55
11356,2011-09,41
11356,2007-04,50
11356,2004-10,35
11356,2004-04,50
11356,2002-05,9
11356,2005-01,65
11356,2004-03,50
11356,2017-10,8
11356,2001-11,54
11356,2008-11,5
11356,2007-06,73
11356,2002-01,65
11356,2009-07,45
11356,2014-09,13
11356,1994-03,4
11356,2017-05,6
11356,2006-11,15
11356,2013-05,13
11356,2000-08,19
11356,2017-02,36
11356,2009-06,16
11356,1996-09,6
11356,2005-12,25
11356,1998-06,14
11356,1991-08,1
11356,2006-01,31
11356,2007-03,14
11356,2005-11,20
11356,2005-05,43
11356,2009-05,83
11356,2016-04,6
11356,2003-08,24
11356,2013-09,61
11356,2004-12,73
11356,2000-04,18
11356,2002-11,86
11356,2016-05,6
11356,2010-09,41
11356,2014-04,18
11356,2007-01,33
11356,2008-06,35
11356,2008-03,17
11356,2013-11,3
11356,2016-11,11
11356,2004-05,36
11356,1998-02,10
11356,2014-03,7
11356,2008-04,19
11356,2002-09,10
11356,2000-10,12
11356,1999-09,29
11356,1999-11,14
11356,2016-08,5
11356,2004-01,35
11356,2014-06,28
11356,2011-12,22
11356,2015-08,5
11356,2017-04,20
11356,2009-12,31
11356,2011-03,6
11356,2017-06,27
11356,1995-09,5
11356,2011-04,29
11356,2001-10,15
11356,2004-02,31
11356,2004-11,34
11356,2006-04,24
11356,2000-02,14
11356,2012-12,12
11356,2007-07,8
11356,2007-09,28
11356,2009-03,50
11356,2003-01,28
11356,2002-06,4
11356,2000-03,14
11356,2006-09,10
11356,2001-09,1
11356,2000-05,6
11356,2013-01,8
