RegionName,2011-12,2012-12,2013-12,2014-12,2015-12,2016-12,2017-12,2018-02,PctChange
10025,2963,3111,3296,3543,3618,3566,3555,3509,15.5599886
10023,3212,3343,3555,3974,3897,3847,3869,3782,15.0713908
10002,3091,3270,3380,3836,3707,3683,3752,3692,16.27843987
10467,1492,1551,1595,1699,1797,1692,1796,1802,17.20310766
11226,1578,1694,1923,2001,2080,2172,2275,2291,31.12178088
10016,3125,3246,3430,3817,3664,3671,3728,3658,14.57080372
11375,1665,1721,1932,2171,2246,2145,2098,2103,20.82738944
11235,1623,1689,1810,2065,2152,2237,2274,2285,28.97155361
10009,3168,3262,3365,4022,3737,3845,3853,3767,15.90124768
10029,2611,2592,2709,2872,3056,2992,3014,2972,12.14670256
10011,3410,3435,3689,4455,4350,4296,4339,4227,19.3281287
10128,2930,3046,3057,3239,3406,3372,3361,3342,12.32794734
11201,2228,2552,2802,2881,2938,2872,2964,2929,23.93308296
10462,1500,1570,1624,1737,1769,1695,1669,1663,9.80156344
10456,1578,1582,1637,1691,1823,1840,1887,1894,16.6842661
10003,3337,3418,3667,4226,4026,4047,4150,4086,18.33088595
11206,1854,2052,2414,2514,2624,2638,2609,2578,28.08378588
10463,1588,1640,1661,1753,1900,1939,1969,1964,19.14460285
11230,1631,1676,1783,2042,2171,2273,2269,2271,28.18141788
11209,1675,1753,1872,2098,2210,2247,2325,2330,28.11158798
11212,1519,1640,1753,1859,2046,2183,2221,2209,31.23585333
10024,3188,3256,3457,4079,4177,4115,4035,3897,18.19348217
11214,1588,1673,1710,1947,2134,2205,2187,2174,26.9549218
11221,1625,1732,2186,2336,2472,2472,2483,2449,33.64638628
11229,1597,1669,1747,2020,2122,2241,2247,2257,29.24235711
11207,1562,1651,1832,2019,2227,2254,2233,2216,29.51263538
10019,3228,3367,3567,3941,3820,3827,3847,3772,14.42205726
11377,1684,1791,1946,2275,2377,2247,2209,2196,23.3151184
11234,1575,1669,1736,1945,2077,2249,2241,2246,29.87533393
11355,1705,1801,1961,2150,2253,2235,2231,2208,22.7807971
10314,1804,1867,1975,2150,2119,2104,2150,2152,16.17100372
11215,2084,2387,2537,2678,2763,2697,2776,2727,23.57902457
11211,2150,2449,2641,2781,2908,2934,2887,2822,23.81289865
11385,1632,1688,1818,2054,2272,2242,2208,2193,25.58139535
11373,1663,1739,1928,2142,2269,2227,2200,2179,23.68058743
10028,2932,3048,3086,3341,3479,3470,3404,3371,13.02284189
11238,1974,2285,2531,2674,2723,2702,2760,2710,27.15867159
11233,1577,1681,1932,2180,2327,2331,2357,2335,32.46252677
11236,1543,1661,1704,1836,2022,2177,2182,2177,29.12264584
10457,1533,1549,1589,1701,1823,1784,1801,1806,15.11627907
10027,2507,2466,2641,2958,3270,3243,3189,3137,20.08288173
11372,1642,1755,1958,2084,2252,2162,2131,2132,22.98311445
11218,1678,1752,2058,2161,2267,2307,2319,2318,27.61000863
11223,1609,1665,1764,2011,2160,2261,2233,2234,27.97672337
10021,3071,3271,3328,3675,3679,3690,3711,3627,15.32947339
11208,1565,1670,1868,2118,2239,2255,2203,2197,28.76649977
11225,1618,1769,2037,2152,2340,2351,2409,2422,33.19570603
11204,1616,1660,1711,1987,2170,2235,2211,2196,26.41165756
10032,2048,1981,2151,2338,2833,2763,2790,2767,25.98482111
11219,1641,1682,1795,2037,2204,2261,2298,2276,27.89982425
11213,1602,1681,1913,2152,2313,2366,2369,2373,32.49051833
11368,1656,1736,1955,2180,2338,2246,2223,2207,24.96601722
11203,1534,1692,1870,1917,2010,2227,2284,2273,32.51209855
10031,2281,2198,2326,2663,3040,2983,2970,2937,22.33571672
11220,1654,1715,1868,2036,2205,2242,2292,2272,27.20070423
