License Number,Establishment Type,Entity Name,Street Number,Street Name,City,State,Zip Code,latitude,longitude,zcta,nbhLabel,boroLabel,label
709788,JAC   ,MERMAID GARDEN INC               ,644,VANDERBILT AVE               ,BROOKLYN          ,NY,11238,40.676932,-73.969136,11238,Prospect Heights,Brooklyn,MERMAID GARDEN INC
671224,JAC   ,CHEN SHENG AN                    ,541,NOSTRAND AVE                 ,BROOKLYN          ,NY,11216,40.67897,-73.949646,11216,Bedford-Stuyvesant,Brooklyn,CHEN SHENG AN
703306,JAC   ,STAR ONE DELI GROCERY CORP I     ,740,SUTTER AVE                   ,BROOKLYN          ,NY,11207,40.669975,-73.891175,11207,East New York,Brooklyn,STAR ONE DELI GROCERY CORP I
671867,JABCH ,SAVARESE ITALIAN PASTRY SHOPPE IN,5922,NEW UTRECHT AVE             ,BROOKLYN          ,NY,11219,40.62828,-73.996379,11219,Borough Park,Brooklyn,SAVARESE ITALIAN PASTRY SHOPPE IN
703565,JAC   ,NINO CLUB CORP                   ,353,KNICKERBOCKER AVE            ,BROOKLYN          ,NY,11237,40.700791,-73.921846,11237,Bushwick,Brooklyn,NINO CLUB CORP
708140,JAC   ,CHAN & CHAN USA CORP             ,2,REWE ST                        ,BROOKLYN          ,NY,11211,40.715585,-73.933984,11211,Williamsburg,Brooklyn,CHAN & CHAN USA CORP
707675,JAC   ,2227 DELI INC                    ,2227,PITKIN AVE                  ,BROOKLYN          ,NY,11207,40.672741,-73.890095,11207,East New York,Brooklyn,2227 DELI INC
614911,JAC   ,KHIMS ORGANIC INC                ,294,GRAHAM AVE                   ,BROOKLYN          ,NY,11211,40.712514,-73.944024,11211,Williamsburg,Brooklyn,KHIMS ORGANIC INC
616244,JAC   ,BOGOPA ST JOHNS INC              ,1682,ST JOHNS PL             ,BROOKLYN          ,NY,11233,40.670075,-73.921555,11233,"Bedford-Stuyvesant, Stuyvesant Heights",Brooklyn,BOGOPA ST JOHNS INC
711097,A     ,QINQIN GROCERY INC               ,4708,7TH AVE                     ,BROOKLYN          ,NY,11220,40.644078,-74.00422,11220,Sunset Park,Brooklyn,QINQIN GROCERY INC
704816,JAC   ,HALSEY GROCERY CORP              ,146,RALPH AVE                    ,BROOKLYN          ,NY,11233,40.685002,-73.92313,11233,"Bedford-Stuyvesant, Stuyvesant Heights",Brooklyn,HALSEY GROCERY CORP
714913,JADK  ,MAROVATO ITALIAN IMPORTS LLC     ,108,DOBBIN ST                    ,BROOKLYN          ,NY,11222,40.725507,-73.954802,11222,Greenpoint,Brooklyn,MAROVATO ITALIAN IMPORTS LLC
710941,A     ,SHUN QIANG MARKET INC            ,4809,8TH AVE                     ,BROOKLYN          ,NY,11220,40.642035,-74.002763,11220,Sunset Park,Brooklyn,SHUN QIANG MARKET INC
703686,JAC   ,STUMPTOWN COFFEE CORP            ,77,COMMERCE ST               ,BROOKLYN          ,NY,11231,40.680804,-74.008181,11231,"Carroll Gardens, Columbia Heights, Red Hook",Brooklyn,STUMPTOWN COFFEE CORP
702019,JAC   ,ZUNO 975 CORP                    ,975,FULTON ST                    ,BROOKLYN          ,NY,11238,40.682905,-73.964138,11238,Prospect Heights,Brooklyn,ZUNO 975 CORP
670028,A     ,OLD TOWN ASIA MARKET INC         ,777,56TH ST                      ,BROOKLYN          ,NY,11220,40.638031,-74.007642,11220,Sunset Park,Brooklyn,OLD TOWN ASIA MARKET INC
706788,JAC   ,AVE U KING FARMER & DELI CORP    ,1701,AVENUE U                    ,BROOKLYN          ,NY,11229,40.60603,-73.95551,11229,"Homecrest, Kensington, Kings Highway, Madison",Brooklyn,AVE U KING FARMER & DELI CORP
714059,JAC   ,LUCKY SEVEN DELI 7 CORP          ,6024,4TH AVE                     ,BROOKLYN          ,NY,11220,40.640367,-74.019036,11220,Sunset Park,Brooklyn,LUCKY SEVEN DELI 7 CORP
710270,JAC   ,KDA MINI MART INC                ,711,MANHATTAN AVE                ,BROOKLYN          ,NY,11222,40.725846,-73.951985,11222,Greenpoint,Brooklyn,KDA MINI MART INC
670998,JABC  ,M MERCEDES CORP                  ,8517,18TH AVE                    ,BROOKLYN          ,NY,11214,40.607513,-74.002328,11214,Bath Beach,Brooklyn,M MERCEDES CORP
706502,A     ,111 NY 99 CENTS STORE INC        ,8402,18TH AVE                    ,BROOKLYN          ,NY,11214,40.608405,-74.00123,11214,Bath Beach,Brooklyn,111 NY 99 CENTS STORE INC
705189,A     ,XING HENG GROCERY INC            ,4505,8TH AVE                     ,BROOKLYN          ,NY,11220,40.643799,-74.000947,11220,Sunset Park,Brooklyn,XING HENG GROCERY INC
