,Unnamed: 0,ATS SYSTEM CODE,LOCATION_NAME,LOCATION_TYPE_DESCRIPTION,LOCATION_CATEGORY_DESCRIPTION,GRADES_FINAL_TEXT,OPEN_DATE,STATUS_DESCRIPTIONS,PRIMARY_ADDRESS_LINE_1,COMMUNITY_DISTRICT,COUNCIL_DISTRICT,CENSUS_TRACT,NTA,GEOGRAPHICAL_DISTRICT_CODE,LatLong,latitude,longitude,zipcode,zcta,nbhLabel,boroLabel,label
0,0,01M015      ,P.S. 015 Roberto Clemente,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/2004 12:00,Open,333 EAST  4 STREET,103,2,2601,MN28,1,"(40.722075, -73.978747)",40.722075,-73.978747,10009,10009,East Village,Manhattan,P.S. 015 Roberto Clemente Elementary
1,1,01M019      ,P.S. 019 Asher Levy,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/1956 12:00,Open,185 1 AVENUE,103,2,4000,MN22,1,"(40.730009, -73.984496)",40.730009,-73.984496,10003,10003,"Greenwich Village, Union Square, Gramercy, Flatiron",Manhattan,P.S. 019 Asher Levy Elementary
2,2,01M020      ,P.S. 020 Anna Silver,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/1963 12:00,Open,166 ESSEX STREET,103,1,3001,MN27,1,"(40.721305, -73.986312)",40.721305,-73.986312,10002,10002,Lower East Side,Manhattan,P.S. 020 Anna Silver Elementary
3,3,01M034      ,P.S. 034 Franklin D. Roosevelt,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08",1/7/1955 12:00,Open,730 EAST  12 STREET,103,2,2800,MN28,1,"(40.726008, -73.975058)",40.726008,-73.975058,10009,10009,East Village,Manhattan,P.S. 034 Franklin D. Roosevelt K-8
4,4,01M063      ,The STAR Academy - P.S.63,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/2005 12:00,Open,121 EAST  3 STREET,103,2,3200,MN22,1,"(40.72444, -73.986214)",40.72444,-73.986214,10009,10009,East Village,Manhattan,The STAR Academy - P.S.63 Elementary
5,5,01M064      ,P.S. 064 Robert Simon,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/1954 12:00,Open,600 EAST  6 STREET,103,2,2601,MN28,1,"(40.72313, -73.981597)",40.72313,-73.981597,10009,10009,East Village,Manhattan,P.S. 064 Robert Simon Elementary
6,6,01M110      ,P.S. 110 Florence Nightingale,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/2002 12:00,Open,285 DELANCY STREET,103,1,1200,MN28,1,"(40.7162, -73.9798)",40.7162,-73.9798,10002,10002,Lower East Side,Manhattan,P.S. 110 Florence Nightingale Elementary
7,7,01M134      ,P.S. 134 Henrietta Szold,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/1960 12:00,Open,293 EAST BROADWAY,103,1,202,MN28,1,"(40.714248, -73.983854)",40.714248,-73.983854,10002,10002,Lower East Side,Manhattan,P.S. 134 Henrietta Szold Elementary
8,8,01M140      ,P.S. 140 Nathan Straus,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08",1/7/1959 12:00,Open,123 RIDGE STREET,103,1,2201,MN28,1,"(40.719148, -73.983769)",40.719148,-73.983769,10002,10002,Lower East Side,Manhattan,P.S. 140 Nathan Straus K-8
9,9,01M142      ,P.S. 142 Amalia Castro,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/1976 12:00,Open,100 ATTORNEY STREET,103,1,1402,MN28,1,"(40.718121, -73.984116)",40.718121,-73.984116,10002,10002,Lower East Side,Manhattan,P.S. 142 Amalia Castro Elementary
10,10,01M184      ,P.S. 184m Shuang Wen,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08",6/22/1999 0:00,Open,327 CHERRY STREET,103,1,201,MN28,1,"(40.711125, -73.985438)",40.711125,-73.985438,10002,10002,Lower East Side,Manhattan,P.S. 184m Shuang Wen K-8
11,11,01M188      ,P.S. 188 The Island School,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08",1/7/2004 12:00,Open,442 EAST HOUSTON STREET,103,2,2000,MN28,1,"(40.719888, -73.97738)",40.719888,-73.97738,10002,10002,Lower East Side,Manhattan,P.S. 188 The Island School K-8
12,12,01M292      ,Orchard Collegiate Academy,General Academic,High school,"09,10,11,12",8/9/2004 12:00,Open,220 HENRY STREET,103,1,201,MN28,1,"(40.713362, -73.986051)",40.713362,-73.986051,10002,10002,Lower East Side,Manhattan,Orchard Collegiate Academy High school
13,13,01M301      ,"Technology, Arts, and Sciences Studio",General Academic,Junior High-Intermediate-Middle,"06,07,08",1/7/2005 12:00,Open,185 1 AVENUE,103,2,4000,MN22,1,"(40.730009, -73.984496)",40.730009,-73.984496,10003,10003,"Greenwich Village, Union Square, Gramercy, Flatiron",Manhattan,"Technology, Arts, and Sciences Studio Junior High-Intermediate-Middle"
14,14,01M315      ,The East Village Community School,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/1999 12:00,Open,610 EAST  12 STREET,103,2,2800,MN28,1,"(40.727537, -73.978254)",40.727537,-73.978254,10009,10009,East Village,Manhattan,The East Village Community School Elementary
15,15,01M332      ,University Neighborhood Middle School,General Academic,Junior High-Intermediate-Middle,"06,07,08",9/13/2004 0:00,Open,220 HENRY STREET,103,1,201,MN28,1,"(40.713362, -73.986051)",40.713362,-73.986051,10002,10002,Lower East Side,Manhattan,University Neighborhood Middle School Junior High-Intermediate-Middle
16,16,01M361      ,The Children's Workshop School,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/1999 12:00,Open,610 EAST  12 STREET,103,2,2800,MN28,1,"(40.727537, -73.978254)",40.727537,-73.978254,10009,10009,East Village,Manhattan,The Children's Workshop School Elementary
17,17,01M363      ,Neighborhood School,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/1999 12:00,Open,121 EAST  3 STREET,103,2,3200,MN22,1,"(40.72444, -73.986214)",40.72444,-73.986214,10009,10009,East Village,Manhattan,Neighborhood School Elementary
18,18,01M364      ,Earth School,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/1999 12:00,Open,600 EAST  6 STREET,103,2,2601,MN28,1,"(40.72313, -73.981597)",40.72313,-73.981597,10009,10009,East Village,Manhattan,Earth School Elementary
19,19,01M378      ,School for Global Leaders,General Academic,Junior High-Intermediate-Middle,"06,07,08",1/7/2008 12:00,Open,145 STANTON STREET,103,1,3001,MN27,1,"(40.72004, -73.986038)",40.72004,-73.986038,10002,10002,Lower East Side,Manhattan,School for Global Leaders Junior High-Intermediate-Middle
20,20,01M448      ,University Neighborhood High School,General Academic,High school,"09,10,11,12",4/6/1999 12:00,Open,200 MONROE STREET,103,1,202,MN28,1,"(40.712269, -73.984128)",40.712269,-73.984128,10002,10002,Lower East Side,Manhattan,University Neighborhood High School High school
21,21,01M450      ,East Side Community School,General Academic,Secondary School,"06,07,08,09,10,11,12",5/6/1996 12:00,Open,420 EAST 12 STREET,103,2,3400,MN22,1,"(40.729152, -73.982472)",40.729152,-73.982472,10009,10009,East Village,Manhattan,East Side Community School Secondary School
22,22,01M458      ,Forsyth Satellite Academy,Transfer School,High school,"09,10,11,12",1/7/2010 12:00,Open,198 FORSYTH STREET,103,1,3601,MN27,1,"(40.722415, -73.990468)",40.722415,-73.990468,10002,10002,Lower East Side,Manhattan,Forsyth Satellite Academy High school
23,23,01M509      ,Marta Valle High School,General Academic,High school,"09,10,11,12",5/6/1996 12:00,Open,145 STANTON STREET,103,1,3001,MN27,1,"(40.72004, -73.986038)",40.72004,-73.986038,10002,10002,Lower East Side,Manhattan,Marta Valle High School High school
24,24,01M515      ,Lower East Side Preparatory High School,Transfer School,High school,"09,10,11,12",5/6/1996 12:00,Open,145 STANTON STREET,103,1,3001,MN27,1,"(40.72004, -73.986038)",40.72004,-73.986038,10002,10002,Lower East Side,Manhattan,Lower East Side Preparatory High School High school
25,25,01M539      ,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,"0K,01,02,03,04,05,06,07,08,09,10,11,12",1/7/2000 12:00,Open,111 COLUMBIA STREET,103,2,2201,MN28,1,"(40.719416, -73.979581)",40.719416,-73.979581,10002,10002,Lower East Side,Manhattan,"New Explorations into Science, Technology and Math K-12 all grades"
26,26,01M650      ,Cascades High School,Transfer School,High school,"09,10,11,12",5/1/1998 12:00,Open,198 FORSYTH STREET,103,1,3601,MN27,1,"(40.722415, -73.990468)",40.722415,-73.990468,10002,10002,Lower East Side,Manhattan,Cascades High School High school
27,27,01M696      ,Bard High School Early College,General Academic,High school,"09,10,11,12",1/7/2001 12:00,Open,525 EAST HOUSTON STREET,103,2,1002,MN28,1,"(40.718276, -73.976093)",40.718276,-73.976093,10002,10002,Lower East Side,Manhattan,Bard High School Early College High school
28,28,01M839      ,Tompkins Square Middle School,General Academic,Junior High-Intermediate-Middle,"06,07,08",1/7/2001 12:00,Open,600 EAST  6 STREET,103,2,2601,MN28,1,"(40.72313, -73.981597)",40.72313,-73.981597,10009,10009,East Village,Manhattan,Tompkins Square Middle School Junior High-Intermediate-Middle
29,29,02M001      ,P.S. 001 Alfred E. Smith,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/1998 12:00,Open,8 HENRY STREET,103,1,2700,MN27,2,"(40.71255, -73.997478)",40.71255,-73.997478,10038,10038,"Financial District, Seaport",Manhattan,P.S. 001 Alfred E. Smith Elementary
