ZCTA,Year-Month,ZCTAcount
10029,2012-10,27
10029,2012-11,23
10029,1998-11,22
10029,2013-03,56
10029,2013-06,21
10029,2006-07,7
10029,2014-05,31
10029,2013-02,33
10029,2004-02,7
10029,2013-01,26
10029,2013-11,18
10029,1999-02,30
10029,2014-04,25
10029,2014-06,19
10029,2009-12,16
10029,2008-06,7
10029,2012-04,14
10029,2010-11,14
10029,2013-07,22
10029,2009-10,11
10029,2007-01,9
10029,2004-03,11
10029,2011-02,17
10029,2013-12,20
10029,2012-09,28
10029,2014-11,17
10029,2004-05,7
10029,1998-12,19
10029,2008-09,10
10029,1999-04,7
10029,2002-05,30
10029,2014-07,13
10029,2011-01,4
10029,2013-08,34
10029,2006-11,6
10029,2002-10,9
10029,2003-02,16
10029,2007-07,18
10029,2007-10,28
10029,2013-05,22
10029,2014-03,21
10029,2012-02,8
10029,2007-04,7
10029,2008-05,15
10029,2002-06,5
10029,2005-12,6
10029,2006-04,9
10029,2007-02,8
10029,2012-05,19
10029,2008-04,13
10029,2013-04,20
10029,2013-09,19
10029,2010-10,7
10029,1999-05,13
10029,1998-01,9
10029,2005-03,19
10029,2009-07,6
10029,2001-04,15
10029,1999-10,16
10029,1999-09,23
10029,2006-02,14
10029,2006-01,25
10029,2014-09,9
10029,2014-10,14
10029,2001-05,29
10029,2014-12,6
10029,2005-11,8
10029,2002-04,25
10029,2010-06,4
10029,2009-03,16
10029,2012-01,6
10029,2004-08,6
10029,2014-01,11
10029,2003-07,7
10029,2008-01,5
10029,2003-06,12
10029,2003-12,10
10029,2004-04,11
10029,2004-07,4
10029,2011-04,4
10029,2010-09,2
10029,2001-01,7
10029,2007-11,4
10029,1998-07,21
10029,2000-08,3
10029,2008-07,8
10029,2007-12,6
10029,2012-06,9
10029,2015-07,5
10029,2008-11,5
10029,2010-12,4
10029,2008-12,6
10029,2008-10,2
10029,2014-02,21
10029,2012-12,33
10029,2000-12,13
10029,2000-03,5
10029,2001-10,7
10029,1999-03,13
10029,2013-10,12
10029,2011-08,5
10029,2012-08,12
10029,2003-05,5
10029,2001-12,7
10029,2003-03,5
10029,2009-11,5
10029,2005-04,8
10029,2006-09,7
10029,2006-12,13
10029,2005-09,4
10029,1998-03,6
10029,2011-09,3
10029,2012-03,16
10029,2011-12,5
10029,2001-07,4
10029,2003-09,5
10029,2009-09,6
10029,2010-01,10
10029,2007-09,7
10029,2015-12,2
10029,2010-04,44
10029,2010-05,19
10029,2003-08,3
10029,2009-05,5
10029,2002-07,4
10029,2010-02,79
10029,2006-06,5
10029,2011-07,9
10029,2009-04,5
10029,2001-03,10
10029,1999-07,2
10029,2008-03,6
10029,2011-10,10
10029,2004-09,6
10029,2015-01,11
10029,2000-07,2
10029,2002-12,2
10029,2005-02,2
10029,2004-12,4
10029,2006-10,3
10029,2012-07,6
10029,2011-06,7
10029,1998-10,2
10029,2007-06,1
10029,2000-05,5
10029,2002-03,9
10029,1998-04,4
10029,2014-08,8
10029,2009-01,6
10029,2016-04,1
10029,2015-03,4
10029,2003-10,3
10029,2000-09,2
10029,2000-01,1
10029,2011-05,3
10029,2005-05,2
10029,1999-12,3
10029,2001-02,2
10029,2009-06,5
10029,2011-11,3
10029,2002-02,1
10029,2006-03,2
10029,2016-05,1
10029,2015-10,1
10029,1999-01,4
10029,2000-02,3
10029,2015-05,1
10029,2008-02,2
10029,2002-01,1
10029,1999-08,1
10029,2010-08,2
10029,2004-10,1
10029,2003-01,2
10029,2007-05,1
10029,2009-02,1
10029,1999-06,1
10029,2005-06,2
10029,2005-08,3
10029,2000-11,1
10029,2006-08,2
10029,2001-06,1
10029,2000-06,1
10029,2015-08,1
10466,2013-01,12
10466,2005-05,4
10466,2013-03,13
10466,2001-02,31
10466,2014-11,4
10466,2014-06,4
10466,2001-03,9
10466,2012-09,7
10466,2010-02,71
10466,2011-10,5
10466,2002-08,3
10466,2009-12,3
10466,2006-10,5
10466,2012-03,6
10466,1999-03,35
10466,2011-01,3
10466,2014-04,12
10466,2013-04,6
10466,2004-03,7
10466,2004-04,3
