,zip,sizeRank,year,month,medianPrice,zcta,nbhLabel,boroLabel
0,10023,2,2013,10,5.02233238789679,10023,Upper West Side,Manhattan
1,10023,2,2013,11,5.1515151515151505,10023,Upper West Side,Manhattan
2,10023,2,2013,12,5.21770796770797,10023,Upper West Side,Manhattan
3,10023,2,2014,1,5.22692307692308,10023,Upper West Side,Manhattan
4,10023,2,2014,2,5.27518248507044,10023,Upper West Side,Manhattan
5,10023,2,2014,3,5.21703296703297,10023,Upper West Side,Manhattan
6,10023,2,2014,4,5.2770635986897005,10023,Upper West Side,Manhattan
7,10023,2,2014,5,5.33333333333333,10023,Upper West Side,Manhattan
8,10023,2,2014,6,5.5,10023,Upper West Side,Manhattan
9,10023,2,2014,7,5.4304189164788195,10023,Upper West Side,Manhattan
10,10023,2,2014,8,5.46099290780142,10023,Upper West Side,Manhattan
11,10023,2,2014,9,5.49080254500268,10023,Upper West Side,Manhattan
12,10023,2,2014,10,5.48870956068611,10023,Upper West Side,Manhattan
13,10023,2,2014,11,5.423795985448179,10023,Upper West Side,Manhattan
14,10023,2,2014,12,5.429988974641679,10023,Upper West Side,Manhattan
15,10023,2,2015,1,5.441302485004281,10023,Upper West Side,Manhattan
16,10023,2,2015,2,5.38279458588294,10023,Upper West Side,Manhattan
17,10023,2,2015,3,5.37249283667622,10023,Upper West Side,Manhattan
18,10023,2,2015,4,5.41760299625468,10023,Upper West Side,Manhattan
19,10023,2,2015,5,5.47022248129797,10023,Upper West Side,Manhattan
20,10023,2,2015,6,5.497252747252751,10023,Upper West Side,Manhattan
21,10023,2,2015,7,5.52930056710775,10023,Upper West Side,Manhattan
22,10023,2,2015,8,5.49450549450549,10023,Upper West Side,Manhattan
23,10023,2,2015,9,5.44668270667233,10023,Upper West Side,Manhattan
24,10023,2,2015,10,5.46099290780142,10023,Upper West Side,Manhattan
25,10023,2,2015,11,5.56328233657858,10023,Upper West Side,Manhattan
26,10023,2,2015,12,5.54607508532423,10023,Upper West Side,Manhattan
27,10023,2,2016,1,5.49450549450549,10023,Upper West Side,Manhattan
28,10023,2,2016,2,5.49450549450549,10023,Upper West Side,Manhattan
29,10023,2,2016,3,5.4948071216617205,10023,Upper West Side,Manhattan
30,10023,2,2016,4,5.46099290780142,10023,Upper West Side,Manhattan
31,10023,2,2016,5,5.43478260869565,10023,Upper West Side,Manhattan
