ZCTA,Year-Month,ZCTAcount
10012,2016-06,2
10012,2017-05,3
10012,2016-11,2
10012,2017-07,1
10012,2016-09,3
10012,2017-03,3
10012,2018-01,2
10012,2017-12,6
10012,2016-12,7
10012,2017-09,2
10012,2017-06,3
10012,2016-04,4
10012,2016-07,6
10012,2017-10,2
10012,2017-08,6
10012,2016-10,1
10012,2017-11,1
10012,2016-08,2
10012,2016-05,2
10012,2018-03,1
10012,2017-01,2
10012,2016-03,1
10012,2018-02,1
10013,2016-04,3
10013,2016-11,2
10013,2016-06,2
10013,2015-07,2
10013,2016-09,3
10013,2018-01,3
10013,2017-03,6
10013,2018-02,4
10013,2017-01,3
10013,2016-07,3
10013,2016-10,2
10013,2017-04,7
10013,2016-12,4
10013,2016-03,2
10013,2017-08,3
10013,2016-08,7
10013,2017-05,2
10013,2017-11,1
10013,2017-12,2
10013,2017-10,2
10013,2016-02,1
10013,2017-09,5
10013,2018-03,3
10013,2017-06,2
10013,2017-02,1
10024,2017-08,7
10024,2017-03,5
10024,2016-08,5
10024,2016-11,4
10024,2017-05,6
10024,2018-01,1
10024,2016-03,2
10024,2016-07,3
10024,2016-12,5
10024,2017-10,3
10024,2016-04,4
10024,2017-04,3
10024,2016-06,3
10024,2017-02,3
10024,2017-11,7
10024,2017-12,2
10024,2016-05,3
10024,2018-03,1
10024,2016-09,1
10024,2017-09,3
10024,2015-11,1
10024,2016-01,2
10024,2017-06,1
10024,2017-01,1
10024,2016-10,1
10024,2015-12,1
11201,2017-05,2
11201,2017-09,3
11201,2016-05,1
11201,2017-06,1
11201,2015-07,1
11201,2015-12,1
11201,2018-03,2
11201,2017-12,1
11201,2017-10,1
11201,2016-06,1
11201,2017-04,1
10019,2016-10,2
10019,2017-12,2
10019,2016-09,2
10019,2016-11,4
10019,2017-04,4
10019,2016-12,2
10019,2017-09,1
10019,2016-08,2
10019,2015-08,1
10019,2016-04,3
10019,2016-06,2
10019,2017-08,3
10019,2016-05,3
10019,2016-03,2
10019,2017-10,1
10019,2017-07,1
10019,2017-03,2
10019,2018-02,1
10019,2016-07,2
10019,2017-02,1
10019,2017-06,1
10019,2018-03,1
10034,2017-08,3
10034,2017-09,1
10034,2017-10,1
10034,2017-01,2
10034,2016-09,1
10034,2016-04,2
10034,2016-03,1
10034,2018-03,1
10034,2017-11,1
10034,2017-04,1
10034,2016-06,1
10034,2017-06,1
10003,2017-06,2
10003,2018-03,4
10003,2016-06,6
10003,2017-01,4
10003,2016-12,7
10003,2017-05,2
10003,2017-10,3
10003,2016-09,5
10003,2015-12,1
10003,2017-08,4
10003,2017-03,4
10003,2017-07,4
10003,2016-07,4
10003,2017-09,4
10003,2016-03,6
10003,2016-04,4
10003,2016-05,3
10003,2016-08,4
10003,2015-10,1
10003,2017-04,2
10003,2018-02,2
10003,2016-10,1
10003,2016-11,2
10003,2016-01,1
10003,2018-01,1
10075,2017-03,3
10075,2017-07,1
10075,2017-05,2
10075,2016-09,3
10075,2017-09,4
10075,2016-08,1
10075,2017-02,2
10075,2016-07,2
10075,2016-06,1
10075,2016-12,2
10075,2016-04,2
10075,2015-09,1
10075,2017-04,1
10075,2017-08,1
10075,2018-02,2
10075,2016-02,1
10075,2016-05,1
10075,2018-03,1
10075,2015-08,1
10014,2016-07,4
10014,2016-03,5
10014,2017-08,6
10014,2016-02,2
10014,2016-11,5
10014,2017-03,4
10014,2017-02,3
10014,2016-05,5
10014,2017-10,3
10014,2016-10,2
10014,2016-06,3
10014,2017-01,5
10014,2016-09,5
10014,2017-12,1
10014,2016-08,4
10014,2017-07,1
10014,2016-12,5
10014,2016-04,3
10014,2017-09,2
10014,2017-06,2
10014,2017-04,2
10014,2018-03,3
10014,2017-05,3
10014,2018-02,1
10014,2018-01,1
10014,2015-11,1
10014,2017-11,2
10014,2016-01,1
10016,2018-02,1
10016,2017-04,4
10016,2017-02,1
10016,2017-12,3
10016,2017-11,2
10016,2017-05,1
10016,2015-03,1
10016,2017-09,2
10016,2017-06,2
10016,2017-10,2
10016,2016-04,2
10016,2016-09,2
10016,2015-08,1
10016,2017-03,1
10016,2017-07,1
10016,2017-08,2
10016,2016-08,2
10016,2017-01,1
11375,2016-09,1
11375,2017-02,2
11375,2015-06,1
11375,2015-12,1
11375,2017-06,1
11375,2018-03,1
11375,2017-03,2
11375,2018-02,1
11375,2017-10,1
11375,2017-01,1
10128,2016-03,2
10128,2016-04,1
10128,2018-03,2
10128,2016-07,1
10128,2017-07,2
10128,2017-06,2
10128,2017-08,2
10128,2016-11,1
10128,2016-06,2
10128,2016-08,1
10128,2016-09,1
10128,2018-01,2
10128,2017-02,1
10128,2016-12,1
10128,2015-12,1
10128,2017-03,2
10128,2017-12,1
10128,2017-04,1
10128,2017-01,1
10128,2017-11,1
10011,2017-07,2
10011,2017-12,2
10011,2017-04,4
10011,2016-11,3
10011,2017-01,2
10011,2018-01,3
10011,2017-11,2
10011,2017-06,4
10011,2016-12,2
10011,2017-10,2
10011,2015-08,1
10011,2016-03,2
10011,2016-04,1
10011,2017-09,3
10011,2016-07,2
10011,2017-03,1
10011,2017-08,3
10011,2016-09,1
10011,2016-08,2
10011,2017-02,1
10011,2018-03,1
10011,2016-10,1
10011,2017-05,1
10010,2018-02,2
10010,2017-08,2
10010,2017-03,1
10010,2016-03,1
10010,2017-09,1
10010,2017-07,1
10010,2017-11,1
10010,2016-05,2
10010,2016-08,1
10010,2016-04,1
10010,2017-05,4
10010,2017-12,1
10010,2016-12,1
10010,2017-01,1
10010,2017-10,1
10031,2016-08,1
10031,2018-02,2
10031,2017-02,1
10031,2017-03,2
10031,2017-08,1
10031,2018-03,1
10031,2017-07,2
10031,2016-06,1
10031,2016-05,1
10002,2017-07,1
10002,2017-11,2
10002,2017-12,1
10002,2016-06,3
10002,2017-10,1
10002,2017-06,2
10002,2016-07,2
10002,2016-04,1
10002,2016-03,1
10002,2017-08,1
11211,2017-03,3
11211,2017-09,4
