Zip Code,Neighborhood,boro
10001,"Chelsea,  West Midtown",Manhattan
10002,Lower East Side,Manhattan
10003,"Greenwich Village, Union Square, Gramercy, Flatiron",Manhattan
10004,Battery Park City,Manhattan
10005,Financial District,Manhattan
10006,"Financial District, Battery Park City",Manhattan
10007,"Tribeca, Financial District",Manhattan
10009,East Village,Manhattan
10010,"Gramercy, Flatiron",Manhattan
10011,"Chelsea ,  Village",Manhattan
10012,"Village, NoHo, Soho",Manhattan
10013,"Tribeca, Soho",Manhattan
10014,"West Village, Soho",Manhattan
10016,"Murray Hill, Kips Bay",Manhattan
10017,Midtown East,Manhattan
10018,Midtown West,Manhattan
10019,Midtown West,Manhattan
10021,Upper East Side,Manhattan
10022,Midtown East,Manhattan
10023,Upper West Side,Manhattan
10024,Upper West Side,Manhattan
10025,Upper West Side,Manhattan
10026,"Manhattan Valley, Morningside Heights, Harlem",Manhattan
10027,"Mt. Morris Park, Morningside Heights",Manhattan
10028,Upper East Side,Manhattan
10029,"East Harlem, Carnegie Hill",Manhattan
10030,Harlem,Manhattan
10031,"Hamilton Heights, Sugar Hill",Manhattan
10032,Washington Heights,Manhattan
10033,Washington Heights,Manhattan
10034,Inwood,Manhattan
10035,Harlem,Manhattan
10036,Midtown West,Manhattan
10037,Harlem,Manhattan
10038,"Financial District, Seaport",Manhattan
10039,Harlem,Manhattan
10040,"Washington Hts, Hudson Hts",Manhattan
10065,Upper East Side,Manhattan
10069,Upper West Side,Manhattan
10075,Upper East Side,Manhattan
10103,Midtown West,Manhattan
10128,Upper East Side,Manhattan
10280,Battery Park City,Manhattan
10282,"Tribeca, Financial District",Manhattan
10301,"New Brighton, St. George, Tompkinsville, Silver Lake, Sunnyside",Staten Island
10302,Elm Park,Staten Island
10303,"Arlington, Marines Harbor",Staten Island
10304,"Clifton, Grasmere, Fox Hills, Park Hill, Todt Hill, Stapleton",Staten Island
10305,"Arrochar, Concord, Grasmere, Fort Wadsworth, Shore Acres, Rosebank",Staten Island
10308,Great Kills,Staten Island
10309,"Charleston, Prince's Bay",Staten Island
10310,"Port Richmond, West Brighton, Edwin Markham Gardens",Staten Island
10314,"Bloomsfield, Chelsea, Bulls Head, Graniteville, Westerleigh, Castelton Corners, Manor Heights, New Springville, Heartland Village",Staten Island
10451,? (is a point on the map),Bronx
10452,"Highbridge, Mt Eden",Bronx
10453,"Morris Heights, University Heights",Bronx
10454,"Mott Haven, Port Morris",Bronx
10455,? (is a point on the map),Bronx
10456,? (is a point on the map),Bronx
10457,"West Bronx, Mt Hope, Tremont, Belmont",Bronx
10458,"Fordham, Belmont",Bronx
10459,Foxhurst,Bronx
10460,"Charlotte Gardens, West Farms, Van Nest",Bronx
10461,"Morris Park, Middletown-Pelham Bay, Westchester Square",Bronx
10462,"Parkchester, East Bronx",Bronx
10463,"Kingsbridge, Spuyten Duyvil, Marble Hill",Bronx
10464,"City Island, Hart Island",Bronx
10465,"Throgs Neck, Schuylerville",Bronx
10466,"Wakefield, Edenwald",Bronx
10467,"Norwood, Olinville, Allerton",Bronx
10468,"Jerome Park, Fordham Manor, Fordham Heights",Bronx
10469,"Laconia, Pelham Gardens, Baychester",Bronx
10470,Woodlawn Heights,Bronx
10471,Riverdale,Bronx
10472,"Soundview, Unionport",Bronx
10473,"Clason Point, Castle Hill, Shorehaven",Bronx
10474,Hunts Point,Bronx
10475,"Eastchester, Co-Op City",Bronx
11001,Floral Park,Queens
11002,Floral Park,Queens
11003,Floral Park,Queens
11004,Glen Oaks,Queens
11005,Ditmars,Queens
11040,New Hyde Park,Queens
11042,New Hyde Park,Queens
11096,Far Rockaway,Queens
11101,Long Island City,Queens
11102,Astoria,Queens
11103,Astoria,Queens
11104,Sunnyside,Queens
11105,Astoria,Queens
11106,Ravenswood (Astoria),Queens
11201,"Boerum Hill, Brooklyn Heights, Cobble Hill, Downtown Brooklyn, DUMBO, Vinegar Hill",Brooklyn
11203,East Flatbush,Brooklyn
11204,"Bensonhurst, Parkville",Brooklyn
11205,"Bedford-Stuyvesant, Navy Yard, Clinton Hill, Fort Greene",Brooklyn
11206,"Bedford-Stuyvesant, Williamsburg",Brooklyn
11207,East New York,Brooklyn
11208,Cypress Hills,Brooklyn
11209,"Bay Ridge, Fort Hamilton",Brooklyn
11210,"Brooklyn College, Flatbush, Vanderveer",Brooklyn
11211,Williamsburg,Brooklyn
11212,"Brownsville, East Flatbush",Brooklyn
11213,"Brower Park, Crown Heights, Weeksville",Brooklyn
11214,Bath Beach,Brooklyn
11215,"Park Slope, Windsor Terrace, Prospect Park",Brooklyn
11216,Bedford-Stuyvesant,Brooklyn
11217,"Boerum Hill, Gowanus, Park Slope",Brooklyn
11218,"Ditmas Park, Kensington",Brooklyn
11219,Borough Park,Brooklyn
11220,Sunset Park,Brooklyn
11221,"Bedford-Stuyvesant, Bushwick",Brooklyn
11222,Greenpoint,Brooklyn
11223,"Gravesend, Homecrest, Kensington",Brooklyn
11224,"Coney Island, Sea Gate",Brooklyn
11225,"Crown Heights, Prospect Lefferts Gardens",Brooklyn
11226,"Flatbush, Prospect Park South",Brooklyn
11228,Dyker Heights,Brooklyn
11229,"Homecrest, Kensington, Kings Highway, Madison",Brooklyn
11230,Midwood,Brooklyn
11231,"Carroll Gardens, Columbia Heights, Red Hook",Brooklyn
11232,"Greenwood, Industry City, Bush Terminal, Sunset Park",Brooklyn
11233,"Bedford-Stuyvesant, Stuyvesant Heights",Brooklyn
11234,"Flatlands, Kings Plaza, Marine Park, Mill Basin",Brooklyn
11235,"Brighton Beach, Manhattan Beach, Sheepshead Bay",Brooklyn
11236,"Canarsie, Jamaica Bay",Brooklyn
11237,Bushwick,Brooklyn
11238,Prospect Heights,Brooklyn
11239,Starrett City,Brooklyn
11249,Williamsburg,Brooklyn
11306,"Bay Terrace, Midland Beach, New Dorp Beach, Oakwood, Richmond, Lighthouse Hill",Staten Island
